,Year,Statistic,Name,Team,Value
691,1979,Complete Games,Dennis Martinez,Baltimore,18
692,1979,ERA,Ron Guidry,New York,2.78
693,1979,Games,Mike Marshall,Minnesota,90
694,1979,Saves,Mike Marshall,Minnesota,32
695,1979,Shutouts,Dennis Leonard,Kansas City,5
696,1979,Shutouts,Nolan Ryan,California,5
697,1979,Strikeouts,Nolan Ryan,California,223
698,1979,Winning Percentage,Mike Caldwell,Milwaukee,.727
699,1979,Wins,Mike Flanagan,Baltimore,23
700,1980,Complete Games,Rick Langford,Oakland,28
701,1980,ERA,Rudy May,New York,2.46
702,1980,Games,Dan Quisenberry,Kansas City,75
703,1980,Saves,Rich Gossage,New York,33
704,1980,Saves,Dan Quisenberry,Kansas City,33
705,1980,Shutouts,Tommy John,New York,6
706,1980,Strikeouts,Len Barker,Cleveland,187
707,1980,Winning Percentage,Steve Stone,Baltimore,.781
708,1980,Wins,Steve Stone,Baltimore,25
709,1981,Complete Games,Rick Langford,Oakland,18
710,1981,ERA,Steve McCatty,Oakland,2.33
711,1981,Games,Doug Corbett,Minnesota,54
712,1981,Saves,Rollie Fingers,Milwaukee,28
713,1981,Shutouts,Richard Dotson,Chicago,4
714,1981,Shutouts,Ken Forsch,California,4
715,1981,Shutouts,Doc Medich,Texas,4
716,1981,Shutouts,Steve McCatty,Oakland,4
717,1981,Strikeouts,Len Barker,Cleveland,127
718,1981,Winning Percentage,Pete Vuckovich,Milwaukee,.778
719,1981,Wins,Dennis Martinez,Baltimore,14
720,1981,Wins,Steve McCatty,Oakland,14
721,1981,Wins,Jack Morris,Detroit,14
722,1981,Wins,Pete Vuckovich,Milwaukee,14
723,1982,Complete Games,Dave Stieb,Toronto,19
724,1982,ERA,Rick Sutcliffe,Cleveland,2.96
725,1982,Games,Ed Vande Berg,Seattle,78
726,1982,Saves,Dan Quisenberry,Kansas City,35
727,1982,Shutouts,Dave Stieb,Toronto,5
728,1982,Strikeouts,Floyd Bannister,Seattle,209
729,1982,Winning Percentage,Pete Vuckovich,Milwaukee,.750
730,1982,Wins,La Marr Hoyt,Chicago,19
731,1983,Complete Games,Ron Guidry,New York,21
732,1983,ERA,Rick Honeycutt,Texas,2.42
